ATC_code,applicant,composition,dosage_form,international_name,link_of_instruction,manufacturer,number_of_certificate,original,prescribed,registration_date,storage_list,term_of_usage,trade_name,validity
L03AB05,"ФЗ БИОФАРМА ООО, Украина",Interferon alfa-2b,капли назальные 100000 МЕ/мл в флаконах 5мл в упаковке №1,Interferon alfa-2b,"https://rceth.by//NDfiles/instr/10734_19_p.pdf,https://rceth.by//NDfiles/instr/10734_19_s.pdf","ФЗ БИОФАРМА ООО, Украина",10734/19,оригинальное,без рецепта,27.06.2019,,2 года,ЛАФЕРОБИОН,27.06.2024
J05AR02,"Белалек ООО, Республика Беларусь",Lamivudine and abacavir,"таблетки, покрытые  пленочной  оболочкой, 600мг/300мг во флаконах № 30 в упаковке №1",Lamivudine and abacavir,"https://rceth.by//NDfiles/instr/23_09_2879_p.pdf,https://rceth.by//NDfiles/instr/23_09_2879_s.pdf","Hetero Labs Limited, Индия упаковано Белалек ООО, Республика Беларусь",23/09/2879,генерик,по рецепту,06.09.2023,,2 года,ЛАВУДИН-АБ,бессрочно
A03AX,"НПФ Материа Медика Холдинг ООО, Российская Федерация",Other drugs for functional gastrointestinal disorders,таблетки для рассасывания гомеопатические  в контурной ячейковой упаковке №20х5,Other drugs for functional gastrointestinal disorders,"https://rceth.by//NDfiles/instr/10492_16_21_p.pdf,https://rceth.by//NDfiles/instr/10492_16_21_s.pdf","НПФ Материа Медика Холдинг ООО, Российская Федерация",10492/16/21,оригинальное,без рецепта,21.07.2021,,3 года,КОЛОФОРТ,бессрочно
,"ТрайплФарм СООО, Республика Беларусь",Colistin,субстанция,Colistin,,"Xellia Pharmaceuticals ApS, Дания",1850/14/19,не определено,,11.10.2019,,5 лет,КОЛИСТИМЕТАТ НАТРИЯ,бессрочно
J01XB01,"ТрайплФарм СООО, Республика Беларусь",Colistin,"порошок для приготовления раствора для внутривенного введения 3000000МЕ во флаконах в упаковке №36,порошок для приготовления раствора для внутривенного введения 3000000МЕ во флаконах в упаковке №5,порошок для приготовления раствора для внутривенного введения 4500000МЕ во флаконах в упаковке №36,порошок для приготовления раствора для внутривенного введения 4500000МЕ во флаконах в упаковке №5",Colistin,"https://rceth.by//NDfiles/instr/23_09_3298_p.pdf,https://rceth.by//NDfiles/instr/23_09_3298_s.pdf","ТрайплФарм СООО, Республика Беларусь",23/09/3298,генерик,по рецепту,10.04.2023,,2 года,КОЛИСТАТ,10.04.2028
N02BE51,"METIGRINS SIA, Латвия","Paracetamol, combinations excl. psycholeptics","таблетки 325мг/20мг в блистерах в упаковке №10х1, №10х2, №10х4","Paracetamol, combinations excl. psycholeptics","https://rceth.by//NDfiles/instr/6111_03_08_13_15_15_19_p.pdf,https://rceth.by//NDfiles/instr/6111_03_08_13_15_15_19_s.pdf","Synmedic Laboratories, Индия",6111/03/08/13/15/15/19,генерик,по рецепту,29.03.2019,,4 года,КОМБИСПАЗМ,бессрочно
J01XB01,"ТрайплФарм СООО, Республика Беларусь",Colistin,"порошок для приготовления раствора для внутривенного введения 1000000МЕ во флаконах в упаковке №36,порошок для приготовления раствора для внутривенного введения 1000000МЕ во флаконах в упаковке №5",Colistin,https://rceth.by//NDfiles/instr/19_11_2976_i.pdf,"ТрайплФарм СООО, Республика Беларусь",19/11/2976,генерик,по рецепту,04.11.2019,,2 года,КОЛИСТАТ,04.11.2024
J01XB01,"ТрайплФарм СООО, Республика Беларусь",Colistin,"порошок для приготовления раствора для ингаляций 1000000МЕ во флаконах в упаковке №36,порошок для приготовления раствора для ингаляций 1000000МЕ во флаконах в упаковке №5",Colistin,https://rceth.by//NDfiles/instr/19_11_2975_i.pdf,"ТрайплФарм СООО, Республика Беларусь",19/11/2975,генерик,по рецепту,04.11.2019,,2 года,КОЛИСТАТ,04.11.2024
D10AF51,"Интеграфарм ЗАО, Республика Беларусь","Clindamycin, combinations",гель для наружного применения (10мг+50мг)/г в тубах 15г в упаковке №1,"Clindamycin, combinations","https://rceth.by//NDfiles/instr/21_01_3101_s.pdf,https://rceth.by//NDfiles/instr/21_01_3101_p.pdf","Farmaprim SRL, Республика Молдова/ Интеграфарм ЗАО, Республика Беларусь",21/01/3101,генерик,по рецепту,13.01.2021,,2 года,КОМЕДОЛИЗ,13.01.2026
N02BE51,"КБ-ФАРМА ООО, Республика Беларусь","Paracetamol, combinations excl. psycholeptics","таблетки  в блистерах в упаковке №10х1, №10х2","Paracetamol, combinations excl. psycholeptics","https://rceth.by//NDfiles/instr/6136_03_08_13_15_19_p.pdf,https://rceth.by//NDfiles/instr/6136_03_08_13_15_19_s.pdf","Synmedic Laboratories, Индия",6136/03/08/13/15/19/22,генерик,без рецепта,13.02.2019,,4 года,КОМБИРИПП,бессрочно
,"Ферейн СОАО, Республика Беларусь",Cocarboxylase,субстанция,Cocarboxylase,,"Завод Химреактивкомплект, Российская Федерация",1265/09/10/16,,,28.04.2016,,3 года,КОКАРБОКСИЛАЗЫ ГИДРОХЛОРИД,бессрочно
D03AX,"Merz Pharmaceuticals GmbH, Германия",Other cicatrizants,гель для наружного применения  в тубах 20г в упаковке №1,Other cicatrizants,"https://rceth.by//NDfiles/instr/5092_01_03_06_08_11_16_22_p.pdf,https://rceth.by//NDfiles/instr/5092_01_03_06_08_11_16_22_s.pdf","Merz Pharma GmbH & Co.KGaA, Германия",5092/01/03/06/08/11/16/22,оригинальное,без рецепта,05.10.2016,,3 года,КОНТРАКТУБЕКС,бессрочно
A07FA01,"GM Pharmaceuticals Ltd, Грузия",Lactic acid producing organisms,капсулы  в контурной ячейковой упаковке №10х1,Lactic acid producing organisms,"https://rceth.by//NDfiles/instr/10762_19_p.pdf,https://rceth.by//NDfiles/instr/10762_19_s.pdf","GM Pharmaceuticals Ltd, Грузия",10762/19,оригинальное,без рецепта,04.11.2019,,2 года,ЛАКТО-G,04.11.2024
L04AC10,"Novartis Pharma AG, Швейцария",Secukinumab,"раствор для подкожного введения 150мг/мл в предварительно заполненном шприце 1мл в автоинжекторе (ручке) в упаковке №1, №2,раствор для подкожного введения 150мг/мл в предварительно заполненном шприце 1мл в блистерах в упаковке №1, №2",Secukinumab,"https://rceth.by//NDfiles/instr/10998_21_p.pdf,https://rceth.by//NDfiles/instr/10998_21_s.pdf","Novartis Pharma Stein AG, Швейцария",10998/21,оригинальное,по рецепту,10.08.2021,,18 мес.,КОЗЭНТИКС,10.08.2026
C09BA03,"Gedeon Richter Plc., Венгрия",Lisinopril and diuretics,"таблетки 10мг/12,5мг в блистерах в упаковке №10х1, №10х3,таблетки 20мг/12,5мг в блистерах в упаковке №10х1, №10х3",Lisinopril and diuretics,https://rceth.by//NDfiles/instr/9268_10_10_15_17_19_i.pdf,"Gedeon Richter Poland Co Ltd, Польша",9268/10/10/15/17/19,генерик,по рецепту,31.12.2019,,2 года,КО-ДИРОТОН,бессрочно
,"SANOFI CHIMIE, Франция",Codeine,субстанция,Codeine,,"SANOFI CHIMIE, Франция",10507/16/20,не определено,,05.10.2016,наркотическое,2 года,КОДЕИНА МОНОГИДРАТ,бессрочно
M01AH05,"GM Pharmaceuticals Ltd, Грузия",Etoricoxib,"таблетки, покрытые пленочной оболочкой 120мг в контурной ячейковой упаковке №7х1,таблетки, покрытые пленочной оболочкой 60мг в контурной ячейковой упаковке №7х4,таблетки, покрытые пленочной оболочкой 90мг в контурной ячейковой упаковке №7х4",Etoricoxib,"https://rceth.by//NDfiles/instr/11250_23_s.pdf,https://rceth.by//NDfiles/instr/11250_23_p.pdf","Rontis Hellas Medical and Pharmaceutical Products S.A., Греция",11250/23,генерик,по рецепту,19.05.2023,,3 года,КОКСИКЕА,19.05.2028
,"Белмедпрепараты РУП, Республика Беларусь",Codeine,субстанция,Codeine,,"Alcaliber S. A. U., Испания",1760/13/18/19,,,06.11.2018,наркотическое,5 лет,КОДЕИН,бессрочно
A11EX,"World Medicine Limited, Великобритания","Vitamin B-complex, other combinations","лиофилизированный порошок для приготовления раствора для инъекций  в ампулах  в комплекте с растворителем (0,5% раствор лидокаина гидрохлорида в ампулах 2мл) в упаковке №3","Vitamin B-complex, other combinations","https://rceth.by//NDfiles/instr/8625_08_13_18_p.pdf,https://rceth.by//NDfiles/instr/8625_08_13_18_s.pdf","E.I.P.I.Co, Египет",8625/08/13/18,генерик,по рецепту,18.12.2018,,3 года,КОКАРНИТ,бессрочно
J05AB16,"Hetero Labs Ltd., Индия",Remdesivir,"лиофилизат для приготовления концентрата для приготовления раствора для инфузий 100мг во флаконах в упаковке №1, №6",Remdesivir,"https://rceth.by//NDfiles/instr/11071_21_p.pdf,https://rceth.by//NDfiles/instr/11071_21_s.pdf","Aspiro Pharma Limited, Индия",11071/21,генерик,по рецепту,15.12.2021,,2 года,КОВИФОР,15.12.2026
C09DA03,"Государственное предприятие АКАДЕМФАРМ, Республика Беларусь",Valsartan and diuretics,"таблетки, покрытые оболочкой, 160мг/12,5мг в контурной  ячейковой упаковке №10х3, №15х2",Valsartan and diuretics,"https://rceth.by//NDfiles/instr/20_05_2321_p.pdf,https://rceth.by//NDfiles/instr/20_05_2321_s.pdf","Государственное предприятие АКАДЕМФАРМ, Республика Беларусь",20/05/2321,генерик,по рецепту,18.05.2020,,2 года,КО-ВАЛСАРТАН,бессрочно
B02BD01,"CSL Behring GmbH, Германия","Coagulation factor IX, II, VII and X in combination","лиофилизат для приготовления раствора для внутривенного введения 1000МЕ во флаконах в комплекте с растворителем (вода для инъекций 40мл) и устройством для добавления растворителя со встроенным фильтром в упаковке №1,лиофилизат для приготовления раствора для внутривенного введения 250МЕ во флаконах в комплекте с растворителем (вода для инъекций 10мл) и устройством для добавления растворителя со встроенным фильтром в упаковке №1,лиофилизат для приготовления раствора для внутривенного введения 500МЕ во флаконах в комплекте с растворителем (вода для инъекций 20мл) и устройством для добавления растворителя со встроенным фильтром в упаковке №1","Coagulation factor IX, II, VII and X in combination","https://rceth.by//NDfiles/instr/10911_21_p.pdf,https://rceth.by//NDfiles/instr/10911_21_s.pdf","CSL Behring GmbH, Германия",10911/21,оригинальное,по рецепту,12.02.2021,,3 года,КОАПЛЕКС,12.02.2026
J01XB01,"ТрайплФарм СООО, Республика Беларусь",Colistin,"порошок для приготовления раствора для внутривенного введения и ингаляций 2000000МЕ во флаконах в упаковке №36,порошок для приготовления раствора для внутривенного введения и ингаляций 2000000МЕ во флаконах в упаковке №5",Colistin,https://rceth.by//NDfiles/instr/19_09_2270_i.pdf,"ТрайплФарм СООО, Республика Беларусь",19/09/2270,генерик,по рецепту,25.09.2019,,2 года,КОЛИСТАТ,бессрочно
L04AC10,"Novartis Pharma AG, Швейцария",Secukinumab,лиофилизат для приготовления раствора для подкожного введения 150мг/мл во флаконах 150мг в упаковке №1,Secukinumab,"https://rceth.by//NDfiles/instr/11009_21_p.pdf,https://rceth.by//NDfiles/instr/11009_21_s.pdf","Novartis Pharma Stein AG, Швейцария",11009/21,оригинальное,по рецепту,18.08.2021,,36 мес.,КОЗЭНТИКС,18.08.2026
C09DX01,"KRKA, d.d., Словения","Valsartan, amlodipine and hydrochlorothiazide","таблетки, покрытые пленочной оболочкой, 10мг/160мг/12,5мг в блистерах в упаковке №10х3, №10х6, №14х2, №14х4,таблетки, покрытые пленочной оболочкой, 10мг/160мг/25мг в блистерах в упаковке №10х3, №10х6, №14х2, №14х4,таблетки, покрытые пленочной оболочкой, 5мг/160мг/12,5мг в блистерах в упаковке №10х3, №10х6, №14х2, №14х4","Valsartan, amlodipine and hydrochlorothiazide","https://rceth.by//NDfiles/instr/10799_20_21_p.pdf,https://rceth.by//NDfiles/instr/10799_20_21_s.pdf","КРКА-РУС ООО, Российская Федерация",10799/20/21,генерик,по рецепту,17.03.2020,,3 года,КО-ВАЛОДИП,17.03.2025
C02AC01,"Харьковское фармацевтическое предприятие Здоровье народу ООО, Украина",Clonidine,"раствор для инъекций 0,01% в ампулах 1мл в блистерах в упаковке №5х2,раствор для инъекций 0,01% в ампулах 1мл в упаковке №10",Clonidine,https://rceth.by//NDfiles/instr/5459_02_08_12_14_19_i.pdf,"Харьковское фармацевтическое предприятие Здоровье народу ООО, Украина",5459/02/08/12/14/19,генерик,по рецепту,05.06.2019,психотропное,2 года,КЛОФЕЛИН-ЗН,бессрочно
A11AA04,"Отисифарм ПАО, Российская Федерация",Multivitamins and trace elements,"таблетки, покрытые  оболочкой,  в банках полимерных №30, №60 в упаковке №1",Multivitamins and trace elements,https://rceth.by//NDfiles/instr/9473_10_15_16_17_i.pdf,"Фармстандарт-Уфавита ОАО, Российская Федерация",9473/10/15/16/17/17,генерик,без рецепта,07.09.2016,,2 года,КОМПЛИВИТ ОФТАЛЬМО,бессрочно
N06BX,"Киевский витаминный завод АО, Украина",Other psychostimulants and nootropics,таблетки 250мг в блистерах   в упаковке №10х5,Other psychostimulants and nootropics,"https://rceth.by//NDfiles/instr/10897_21_p.pdf,https://rceth.by//NDfiles/instr/10897_21_s.pdf","Киевский витаминный завод АО, Украина",10897/21,генерик,по рецепту,01.02.2021,,2 года,КОГНУМ,01.02.2026
,"Минскинтеркапс УП, Республика Беларусь",,субстанция,,,"Decas Botanical Synergies, США",1545/12/16,,,08.12.2016,,3 года,КЛЮКВЫ ЭКСТРАКТ СУХОЙ СТАНДАРТИЗОВАННЫЙ (40% ПРОАНТОЦИАНИДИНОВ),бессрочно
G01AF02,"Esparma GmbH, Германия",Clotrimazole,крем вагинальный 20мг/г в тубах 20г в комплекте с одноразовым аппликатором для интравагинального введения №3 в упаковке №1,Clotrimazole,"https://rceth.by//NDfiles/instr/11193_22_s.pdf,https://rceth.by//NDfiles/instr/11193_22_p.pdf","Pharma Wernigerode GmbH, Германия",11193/22,генерик,без рецепта,30.11.2022,,3 года,КЛОТРИМАЗОЛ 2%,30.11.2027
D01AC01,"S.C. Rompharm Company S.R.L., Румыния",Clotrimazole,спрей для наружного применения 1% во флаконах 20г в упаковке №1,Clotrimazole,"https://rceth.by//NDfiles/instr/7384_05_10_15_20_p.pdf,https://rceth.by//NDfiles/instr/7384_05_10_15_20_s.pdf","S.C. Rompharm Company S.R.L., Румыния",7384/05/10/15/20,генерик,без рецепта,09.09.2020,,3 года,КЛОТРИМАЗОЛ,бессрочно
D01AC01,"Medana Pharma S.A., Польша",Clotrimazole,раствор для наружного применения 1% во флаконах с пробкой-капельницей 15мл в упаковке №1,Clotrimazole,"https://rceth.by//NDfiles/instr/675_95_2000_02_05_08_10_15_19_20_p.pdf,https://rceth.by//NDfiles/instr/675_95_2000_02_05_08_10_15_19_20_s.pdf","Medana Pharma S.A., Польша",675/95/2000/02/05/08/10/15/19/20,генерик,без рецепта,21.10.2020,,3 года,КЛОТРИМАЗОЛ,бессрочно
C09BA04,"KRKA, d.d., Словения",Perindopril and diuretics,"таблетки 8мг/2,5мг в блистерах   в упаковке №10х3, №10х9",Perindopril and diuretics,"https://rceth.by//NDfiles/instr/10055_12_13_18_19_p.pdf,https://rceth.by//NDfiles/instr/10055_12_13_18_19_s.pdf","KRKA, d.d., Словения",10055/12/13/18/19,генерик,по рецепту,08.02.2018,,3 года,КО-ПРЕНЕССА,бессрочно
L01BB06,"Государственное научное учреждение ИНСТИТУТ БИООРГАНИЧЕСКОЙ ХИМИИ НАН БЕЛАРУСИ, Республика Беларусь",Clofarabine,концентрат для приготовления раствора для инфузий 1мг/мл во флаконах 20мл в упаковке №1,Clofarabine,"https://rceth.by//NDfiles/instr/23_04_2762_s.pdf,https://rceth.by//NDfiles/instr/23_04_2762_p.pdf","Государственное научное учреждение ИНСТИТУТ БИООРГАНИЧЕСКОЙ ХИМИИ НАН БЕЛАРУСИ, Республика Беларусь",23/04/2762,генерик,по рецепту,04.04.2023,,3 года,КЛОФАРАБИН,бессрочно
,"Государственное научное учреждение ИНСТИТУТ БИООРГАНИЧЕСКОЙ ХИМИИ НАН БЕЛАРУСИ, Республика Беларусь",Clofarabine,субстанция,Clofarabine,,"Государственное научное учреждение ИНСТИТУТ БИООРГАНИЧЕСКОЙ ХИМИИ НАН БЕЛАРУСИ, Республика Беларусь",18/10/2096,,,17.10.2018,А,3 года,КЛОФАРАБИН,бессрочно
G01AF02,"Интеграфарм ЗАО, Республика Беларусь",Clotrimazole,суппозитории вагинальные 100мг в контурной ячейковой упаковке №6х1,Clotrimazole,"https://rceth.by//NDfiles/instr/19_11_2974_p.pdf,https://rceth.by//NDfiles/instr/19_11_2974_s.pdf","Farmaprim SRL, Республика Молдова/ Интеграфарм ЗАО, Республика Беларусь",19/11/2974,генерик,без рецепта,04.11.2019,,3 года,КЛОТРИМАЗОЛ,04.11.2024
,"Фармтехнология ООО, Республика Беларусь",Clotrimazole,субстанция,Clotrimazole,,"Jiangsu Yunyang Group Pharmaceutical Co., Ltd., Китай",1585/12/17,,,27.04.2017,,4 года,КЛОТРИМАЗОЛ,бессрочно
D01AC01,"GlaxoSmithKline Export Ltd, Великобритания",Clotrimazole,крем для наружного применения 1% в тубах 20г в упаковке №1,Clotrimazole,"https://rceth.by//NDfiles/instr/1536_95_98_2000_05_10_16_23_s.pdf,https://rceth.by//NDfiles/instr/1536_95_98_2000_05_10_16_23_p.pdf","Delpharm Poznan S.A., Польша",1536/95/98/2000/05/10/16/23,генерик,без рецепта,16.03.2016,,3 года,КЛОТРИМАЗОЛ,бессрочно
G01AF02,"Белорусско-голландское совместное предприятие общество с ограниченной ответственностью Фармлэнд (СП ООО Фармлэнд), Республика Беларусь",Clotrimazole,таблетки вагинальные 100мг в банках №6 в упаковке №1,Clotrimazole,"https://rceth.by//NDfiles/instr/17_02_1402_p.pdf,https://rceth.by//NDfiles/instr/17_02_1402_s.pdf","Белорусско-голландское совместное предприятие общество с ограниченной ответственностью Фармлэнд (СП ООО Фармлэнд), Республика Беларусь",17/02/1402,генерик,без рецепта,27.02.2017,,2 года,КЛОТРИМАЗОЛ,бессрочно
D01AC01,"Интеграфарм ЗАО, Республика Беларусь",Clotrimazole,крем 10мг/г в тубах 15г в упаковке №1,Clotrimazole,"https://rceth.by//NDfiles/instr/20_12_3094_p.pdf,https://rceth.by//NDfiles/instr/20_12_3094_s.pdf","Farmaprim SRL, Республика Молдова/ Интеграфарм ЗАО, Республика Беларусь",20/12/3094,генерик,без рецепта,15.12.2020,,3 года,КЛОТРИМАЗОЛ,15.12.2025
,"Белорусско-голландское совместное предприятие общество с ограниченной ответственностью Фармлэнд (СП ООО Фармлэнд), Республика Беларусь",Clotrimazole,субстанция,Clotrimazole,,"Guangzhou Hanpu Pharmaceutical Co. Ltd., Китай",2140/16,,,28.06.2016,,2 года,КЛОТРИМАЗОЛ,бессрочно
D01AC01,"Фармтехнология ООО, Республика Беларусь",Clotrimazole,"раствор для наружного применения 10мг/мл во флаконах 15мл, 20мл, 25мл в упаковке №1",Clotrimazole,"https://rceth.by//NDfiles/instr/18_10_756_p.pdf,https://rceth.by//NDfiles/instr/18_10_756_s.pdf","Фармтехнология ООО, Республика Беларусь",18/10/756,генерик,без рецепта,10.10.2018,,3 года,КЛОТРИМАЗОЛ,бессрочно
D01AC01,"S.C. Rompharm Company S.R.L., Румыния",Clotrimazole,крем 1% в тубах 20г в упаковке №1,Clotrimazole,"https://rceth.by//NDfiles/instr/4109_99_04_10_15_19_20_p.pdf,https://rceth.by//NDfiles/instr/4109_99_04_10_15_19_20_s.pdf","S.C. Hyperion S.A., Румыния",4109/99/04/10/15/19/20,генерик,без рецепта,09.11.2020,,3 года,КЛОТРИМАЗОЛ,бессрочно
D01AC01,"Leon Farm, Израиль",Clotrimazole,крем для наружного применения 10мг/г в тубах 20г в упаковке №1,Clotrimazole,"https://rceth.by//NDfiles/instr/11118_22_p.pdf,https://rceth.by//NDfiles/instr/11118_22_s.pdf","Nabros Pharma Pvt.Ltd., Индия",11118/22,генерик,без рецепта,01.06.2022,,3 года,КЛОТРИМАЗОЛ,01.06.2027
D01AC01,"Farmaprim SRL, Республика Молдова",Clotrimazole,крем 10мг/г в тубах 15г в упаковке №1,Clotrimazole,"https://rceth.by//NDfiles/instr/10865_20_p.pdf,https://rceth.by//NDfiles/instr/10865_20_s.pdf","Farmaprim SRL, Республика Молдова",10865/20,генерик,без рецепта,02.11.2020,,3 года,КЛОТРИМАЗОЛ,02.11.2025
,"Белмедпрепараты РУП, Республика Беларусь",Clotrimazole,субстанция,Clotrimazole,,"Amoli Organics Pvt. Ltd., Индия",2343/18,,,08.01.2018,,5 лет,КЛОТРИМАЗОЛ,бессрочно
N05AF05,"H.Lundbeck A/S, Дания",Zuclopenthixol,раствор для внутримышечного  введения (масляный) 50мг/мл в ампулах 1мл в упаковке №5,Zuclopenthixol,"https://rceth.by//NDfiles/instr/6574_03_06_08_14_16_19_23_s.pdf,https://rceth.by//NDfiles/instr/6574_03_06_08_14_16_19_23_p.pdf","H.Lundbeck A/S, Дания",6574/03/06/08/14/16/19/23,оригинальное,по рецепту,29.08.2019,,3 года,КЛОПИКСОЛ-АКУФАЗ,бессрочно
N05AF05,"H.Lundbeck A/S, Дания",Zuclopenthixol,раствор для внутримышечного введения (масляный) 200мг/мл в ампулах 1мл в упаковке №1,Zuclopenthixol,https://rceth.by//NDfiles/instr/6573_03_06_08_14_16_19_i.pdf,"H.Lundbeck A/S, Дания",6573/03/06/08/14/16/19,оригинальное,по рецепту,31.05.2019,,3 года,КЛОПИКСОЛ ДЕПО,бессрочно
,"Лекфарм СООО, Республика Беларусь",Clopidogrel,субстанция,Clopidogrel,,"IPCA Laboratories Limited, Индия",1618/12/14/17,,,03.08.2017,,3 года,КЛОПИДОГРЕЛЯ ГИДРОСУЛЬФАТ,бессрочно
C02AC01,"Белмедпрепараты РУП, Республика Беларусь",Clonidine,"таблетки 0,15мг в контурных ячейковых упаковках №10х3, №10х5",Clonidine,"https://rceth.by//NDfiles/instr/20_04_125_p.pdf,https://rceth.by//NDfiles/instr/20_04_125_s.pdf","Белмедпрепараты РУП, Республика Беларусь",20/04/125,генерик,по рецепту,08.04.2020,психотропное,4 года,КЛОФЕЛИН,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",Clopidogrel,субстанция,Clopidogrel,,"Praveen Laboratories Pvt. Ltd., Индия",2468/19,,,23.05.2019,,3 года,КЛОПИДОГРЕЛА ГИДРОСУЛЬФАТ,бессрочно
G03GB02,"EGIS Pharmaceuticals PLC, Венгрия",Clomifene,таблетки 50мг во флаконах №10 в упаковке №1,Clomifene,"https://rceth.by//NDfiles/instr/2416_96_01_06_11_16_p.pdf,https://rceth.by//NDfiles/instr/2416_96_01_06_11_16_s.pdf","EGIS Pharmaceuticals PLC, Венгрия",2416/96/01/06/11/16,генерик,по рецепту,10.08.2016,,5 лет,КЛОСТИЛБЕГИТ,бессрочно
G01AF02,"Farmaprim SRL, Республика Молдова",Clotrimazole,суппозитории вагинальные 100мг в контурной ячейковой упаковке №6х1,Clotrimazole,"https://rceth.by//NDfiles/instr/6394_03_08_13_19_p.pdf,https://rceth.by//NDfiles/instr/6394_03_08_13_19_s.pdf","Farmaprim SRL, Республика Молдова",6394/03/08/13/19,генерик,без рецепта,31.05.2019,,3 года,КЛОТРИМАЗОЛ,бессрочно
N05AF05,"H.Lundbeck A/S, Дания",Zuclopenthixol,"таблетки, покрытые пленочной оболочкой, 10мг в пластиковом контейнере №50,таблетки, покрытые пленочной оболочкой, 2мг в пластиковом контейнере №50",Zuclopenthixol,https://rceth.by//NDfiles/instr/6572_03_08_12_14_16_19_i.pdf,"H.Lundbeck A/S, Дания",6572/03/08/12/14/16/19,оригинальное,по рецепту,31.05.2019,,2 года,КЛОПИКСОЛ,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",Clonidine,субстанция,Clonidine,,"Jiangsu Yunyang Group Pharmaceutical Co., Ltd., Китай",1698/13/18,,,22.01.2018,психотропное,4 года,КЛОНИДИНА ГИДРОХЛОРИД (КЛОФЕЛИН),бессрочно
N03AE01,"Tarchomin Pharmaceutical Works Polfa S.A., Польша",Clonazepam,"таблетки 0,5мг в блистерах   в упаковке №30х1,таблетки 2мг в блистерах   в упаковке №30х1",Clonazepam,"https://rceth.by//NDfiles/instr/1564_95_01_05_10_15_16_19_20_p.pdf,https://rceth.by//NDfiles/instr/1564_95_01_05_10_15_16_19_20_s.pdf","Tarchomin Pharmaceutical Works Polfa S.A., Польша",1564/95/01/05/10/15/16/19/20,генерик,по рецепту,17.07.2020,психотропное,3 года,КЛОНАЗЕПАМ,бессрочно
G01BA,"Farmaprim SRL, Республика Молдова",Antibiotics and corticosteroids,суппозитории вагинальные  в контурной ячейковой  упаковке №7х1,Antibiotics and corticosteroids,"https://rceth.by//NDfiles/instr/10635_18_23_p.pdf,https://rceth.by//NDfiles/instr/10635_18_23_s.pdf","Farmaprim SRL, Республика Молдова",10635/18/23,генерик,по рецепту,31.08.2023,,2 года,КЛОМЕТРИЛ,бессрочно
,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Clopidogrel,субстанция,Clopidogrel,,"Praveen Laboratories Pvt. Ltd., Индия",2251/17/20,генерик,,03.05.2017,,3 года,КЛОПИДОГРЕЛА ГИДРОСУЛЬФАТ,бессрочно
G01AX,"Farmaprim SRL, Республика Молдова",Other antiinfectives and antiseptics,суппозитории вагинальные  в упаковке №5х2,Other antiinfectives and antiseptics,"https://rceth.by//NDfiles/instr/8061_07_12_18_21_s.pdf,https://rceth.by//NDfiles/instr/8061_07_12_18_21_p.pdf","Farmaprim SRL, Республика Молдова",8061/07/12/18/21,генерик,по рецепту,05.03.2018,,2 года,КЛОМЕЗОЛ,бессрочно
N05AH02,"Maxpharma Baltija UAB, Литовская Республика",Clozapine,"таблетки 100мг в блистерах в упаковке №10х5, №10х10,таблетки 25мг в блистерах в упаковке №10х5, №10х10",Clozapine,https://rceth.by//NDfiles/instr/7849_06_11_16_17_i.pdf,"Intas Pharmaceuticals Ltd., Индия",7849/06/11/16/17,генерик,по рецепту,03.05.2017,,2 года,КЛОЗАПИН-МАКСФАРМА,бессрочно
,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Clozapine,субстанция,Clozapine,,"Wuhan Shiji Pharmaceutical Co., Ltd, Китай",1935/15/19,генерик,,04.11.2019,,3 года,КЛОЗАПИН,бессрочно
C09BX01,"KRKA, d.d., Словения","Perindopril, amlodipine and indapamide","таблетки 2мг/5мг/0,625мг в блистерах в  упаковке №7х2, №14х1, №10х3,таблетки 4мг/10мг/1,25мг в блистерах в  упаковке №7х2, №14х1, №10х3,таблетки 4мг/5мг/1,25мг в блистерах в  упаковке №14х1, №10х3,таблетки 8мг/10мг/2,5мг в блистерах в  упаковке №7х2, №14х1, №10х3,таблетки 8мг/5мг/2,5мг в блистерах в  упаковке №7х2, №14х1, №10х3","Perindopril, amlodipine and indapamide","https://rceth.by//NDfiles/instr/10366_15_15_20_21_22_s.pdf,https://rceth.by//NDfiles/instr/10366_15_15_20_21_22_p.pdf","KRKA, d.d., Словения",10366/15/15/20/21/22,генерик,по рецепту,16.06.2020,,3 года,КО-АМЛЕССА,бессрочно
N05AH02,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Clozapine,таблетки 25мг в контурной ячейковой упаковке №10х5,Clozapine,"https://rceth.by//NDfiles/instr/22_02_2640_p.pdf,https://rceth.by//NDfiles/instr/22_02_2640_s.pdf","Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",22/02/2640,генерик,по рецепту,22.02.2022,,2 года,КЛОЗАПИН,бессрочно
